,Fat,Snf,Protein,Stabilizer_a,Stabilizer_b,Cocoa_a,Cocoa_b,Sugar,Minor
SMP,-0.945914267266021,2.387405357164891,-3.7564106254960943,0.6603304119662287,0.6603304119662289,-1.0612695403267938,-1.0612695403267922,0.0,0.0
WMP,2.5827572167089583,0.003084503045430855,-0.06945272690632212,-2.3247282552816966,-2.3247282552816975,-0.27075099423814813,-0.27075099423814725,0.0,0.0
WPC,-0.8414524307940341,-1.3545081040176683,3.832340808797826,0.8656678360360427,0.8656678360360439,0.3624532697788618,0.36245326977886105,0.0,0.0
Stab_a,2.614089689319357e-16,-1.833847105505148e-16,-5.514387075670142e-16,0.9999999999999999,-3.2959118322907657e-16,1.1478158891068025e-15,6.87071612410739e-16,0.0,0.0
Stab_b,3.7243127139445136e-16,-6.19540672321383e-17,-7.179721612607877e-16,-5.474730973654974e-16,1.0,6.057148028640502e-16,9.2559609035755e-16,0.0,0.0
Cocoa_a,-5.539424638821799e-18,-2.3042226437780666e-17,3.6893539872648245e-16,2.8651250954170765e-16,-5.681620214958686e-16,1.0000000000000004,-8.522345595148535e-16,0.0,0.0
Cocoa_b,-1.8535746568757134e-16,2.191263859135369e-16,-2.4883253599692344e-18,1.2147119480100942e-17,-3.761571870423692e-17,-2.9696747306170173e-16,0.9999999999999999,0.0,0.0
Sugar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Minor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
