,final_kg,final_fat,final_snf,final_protein,final_stab_a,final_stab_b,final_cocoa_a,final_cocoa_b,final_sugar,final_minor
Fresh_milk,7000.0,280.0,556.5,196.0,0.0,0.0,0.0,0.0,0.0,0.0
Rework,1650.0,27.94447613614755,71.79110572352158,34.93059517018444,0.0,1.5980747290359383,0.0,0.0,0.0,1.5107482411104771
SMP,166.25793076681992,1.3300634461345595,159.10883974384666,56.52769646071878,0.0,0.0,0.0,0.0,0.0,0.0
WMP,1498.553449520989,591.9286125607907,989.0452766838528,479.5371038467165,0.0,0.0,0.0,0.0,0.0,0.0
WPC,721.674340870633,10.825115113059494,685.5906238271014,433.0046045223798,0.0,0.0,0.0,0.0,0.0,0.0
Stab_a,-7.185597916470748e-13,-6.467038124823674e-13,-5.7484783331766e-14,-0.0,-7.185597916470748e-13,-0.0,-0.0,-0.0,-0.0,-0.0
Stab_b,53.301925270963494,47.97173274386714,4.264154021677079,0.0,0.0,53.301925270963494,0.0,0.0,0.0,0.0
Cocoa_a,2.8127604808160557e-13,3.0940365288976615e-14,2.3908464086936475e-13,6.469349105876929e-14,0.0,0.0,2.8127604808160557e-13,0.0,0.0,0.0
Cocoa_b,2.7747653668576036e-13,3.0522419035433637e-14,2.358550561828963e-13,6.381960343772488e-14,0.0,0.0,0.0,2.7747653668576036e-13,0.0,0.0
Sugar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Minor,50.38925175888952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.38925175888952
material,11140.176898188296,959.9999999999989,2466.3,1199.9999999999995,-7.185597916470748e-13,54.89999999999943,2.8127604808160557e-13,2.7747653668576036e-13,0.0,51.9
water,18859.823101811704,,,,,,,,,
ds,0.15776999999999994,0.03199999999999996,0.08221,0.03999999999999999,-2.3951993054902496e-17,0.001829999999999981,9.375868269386853e-18,9.249217889525345e-18,0.0,0.00173
